,ARI,Munkres_ACC,SI,DBI
GMM_FIXED,0.216695483493342,0.522025290900249,0.576827459434071,2.03407938096266
GMM_DP,0.177357629443568,0.355735207928618,0.531186235605217,3.37536654516609
GMM_BIC,0.200730596609681,0.38007783467899,0.547254285645545,2.92693165527327
HDP_HSMM,0.159586006546713,0.338750944948355,0.521127034921567,3.6900708385454
GMM_FIXED,0.082820797067504,0.27313200378905,0.519372043733847,3.28449512217918
GMM_DP,0.065723595407284,0.222009484528048,0.494464017618135,3.58239861743898
GMM_BIC,0.060152471971771,0.220072436985069,0.494990552047103,3.84445226464656
HDP_HSMM,0.07240439305059,0.227789842631656,0.49049062359156,4.12782038368023
GMM_FIXED,0.164952337489522,0.367075779314998,0.543195910207901,2.57144321870902
GMM_DP,0.070787612913999,0.20910563236513,0.487972255939103,4.18109438541911
GMM_BIC,0.200730596609681,0.38007783467899,0.547254285645545,2.92693165527327
HDP_HSMM,0.11928889839412,0.296131707305984,0.498824865930461,4.27382318502335
